French,English
histoire,history
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
bébé,baby
longtemps,long time
heures,hours
vont,will
aucune,any
place,square
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
perdu,lost
première,first
pouvoir,power
enfant,child
point,point
venu,came
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
dirait,would say
compte,account
loin,far
croire,believe
aura,will have
filles,girls
